id,page,layout,sections,is_published,created_at,updated_at,page_slug,layout_json,published_at,page_name,seo_title,seo_description,seo_keywords,og_image_media_id,created_by,updated_by,page_key,is_active
f841b44c-59c0-435f-8a35-2c763fd50412,,,,t,2026-08-06 10:20:49.99416,2026-08-06 10:20:49.99416,,,,,,,{},,,,,
6807b85c-8b2f-40d3-b638-dd37a4429d03,,,,t,2026-08-06 10:20:47.431293,2026-08-06 10:20:47.431293,,,,,,,{},,,,,
28489d16-2bc9-4728-bf87-71ee0363f126,,,,t,2026-08-06 10:14:52.772724,2026-08-06 10:14:52.772724,,,,,,,{},,,,,
502f16ec-6c0e-4868-a429-7a9e6f2d9158,,,,t,2026-08-06 10:14:51.376098,2026-08-06 10:14:51.376098,,,,,,,{},,,,,
d96952b7-6ec0-444d-bafb-fffcec0c74ad,,,,t,2026-08-05 23:06:10.576515,2026-08-05 23:06:10.576515,,,,,,,{},,,,,
56f11a7b-17b8-43d4-9139-e7d9c74cbb13,,,,t,2026-08-05 23:06:08.877099,2026-08-05 23:06:08.877099,,,,,,,{},,,,,
14ebf1bd-6a09-4c99-9cd8-8564f80dd189,,,,t,2026-08-05 22:23:21.624342,2026-08-05 22:23:21.624342,,,,,,,{},,,,,
5e57015d-8ecd-402c-8a8e-b71f811784c8,,,,t,2026-08-05 22:23:17.18047,2026-08-05 22:23:17.18047,,,,,,,{},,,,,
51b1f5be-35d9-4c35-a903-4b61a076a620,,,,t,2026-08-05 22:03:57.720834,2026-08-05 22:03:57.720834,,,,,,,{},,,,,
f38ca419-bde9-40c9-b973-dba2a05f60b0,,,,t,2026-08-05 22:03:56.29658,2026-08-05 22:03:56.29658,,,,,,,{},,,,,
e596699e-2bb3-45b8-b184-da65e0ee5e52,,,,t,2026-08-05 22:02:12.734545,2026-08-05 22:02:12.734545,,,,,,,{},,,,,
443600ba-fcd9-4ba4-98ce-f83f60613692,,,,t,2026-08-05 21:58:45.252256,2026-08-05 21:58:45.252256,,,,,,,{},,,,,
938741ff-6028-48ea-9953-3b52eb494e00,,,,t,2026-08-05 21:58:43.569638,2026-08-05 21:58:43.569638,,,,,,,{},,,,,
46fe9bea-ec33-4f8a-b1d2-3e5d0bb8a5ee,,,,t,2026-08-05 21:19:46.92134,2026-08-05 21:19:46.92134,,,,,,,{},,,,,
d651778f-8741-45a1-8f75-6b1d1bcffbb2,,,,t,2026-08-05 20:21:14.427895,2026-08-05 20:21:14.427895,,,,,,,{},,,,,
bf42c97a-63ae-4c32-8e60-983cff96d699,,,,t,2026-08-05 20:21:09.677065,2026-08-05 20:21:09.677065,,,,,,,{},,,,,
900fa9b1-3660-4358-923a-28939806b53f,,,,t,2026-08-05 20:18:42.700287,2026-08-05 20:18:42.700287,,,,,,,{},,,,,
46e42f66-5e88-4715-91c7-d07e9c1721cf,,,,t,2026-08-05 20:18:39.004834,2026-08-05 20:18:39.004834,,,,,,,{},,,,,
7de20d97-cd2a-464e-8033-f7eadd5b2b73,,,,t,2026-08-05 18:42:46.895395,2026-08-05 18:42:46.895395,,,,,,,{},,,,,
86663067-4aeb-4092-b5ab-c29424754c37,,,,t,2026-08-05 11:33:42.957175,2026-08-05 11:33:42.957175,,,,,,,{},,,,,
a37cc2dd-d805-4d0f-bdc1-bc9e12103598,,,,t,2026-08-05 11:33:40.735218,2026-08-05 11:33:40.735218,,,,,,,{},,,,,
19713357-1415-4561-ad30-b684df9b34c3,,,,t,2026-08-05 11:32:39.640879,2026-08-05 11:32:39.640879,,,,,,,{},,,,,
681d56a7-5730-4257-abfa-75875041c60d,,,,t,2026-08-05 11:32:37.408002,2026-08-05 11:32:37.408002,,,,,,,{},,,,,
18db7693-1ec0-4d93-955d-1b76d1330ff4,,,,t,2026-08-05 11:28:39.136836,2026-08-05 11:28:39.136836,,,,,,,{},,,,,
feb38026-e988-4350-a4a4-51f9e39cb43e,,,,t,2026-08-05 11:28:36.123985,2026-08-05 11:28:36.123985,,,,,,,{},,,,,
72eff1cd-0f16-4a91-b695-c544f3ab0822,,,,t,2026-08-05 11:27:39.966354,2026-08-05 11:27:39.966354,,,,,,,{},,,,,
79a6a754-eb8b-426a-90e9-dd33d50aa3c7,,,,t,2026-08-05 11:15:56.739309,2026-08-05 11:15:56.739309,,,,,,,{},,,,,
7e4c1466-524a-4be9-be1d-560966314f13,,,,t,2026-08-05 11:15:54.50645,2026-08-05 11:15:54.50645,,,,,,,{},,,,,
544551d4-db50-4303-b8da-b386e8629504,,,,t,2026-08-05 09:59:31.145407,2026-08-05 09:59:31.145407,,,,,,,{},,,,,
f62f16e9-47cf-47e4-bb15-469ad5c218ad,,,,t,2026-08-05 09:59:28.868213,2026-08-05 09:59:28.868213,,,,,,,{},,,,,
4fc48aa6-bec5-4b7d-8ca5-40b5874ff05c,,,,t,2026-08-05 09:58:34.324648,2026-08-05 09:58:34.324648,,,,,,,{},,,,,
412a6f5a-3a71-4415-bfba-9ff3fb5bfb1f,,,,t,2026-07-27 07:46:22.089864,2026-07-27 07:46:22.089864,,,,,,,{},,,,,
